Id,Predicted
0,483.6|338.7
1,543.0|567.2
2,208.9|394.6
3,580.3|513.3
4,360.9|362.2
5,403.1|533.3
6,220.2|593.9
7,435.4|579.7
8,418.2|338.8
9,429.2|491.3
10,224.5|332.2
11,442.0|581.3
12,475.0|291.0
13,259.2|302.6
14,358.3|586.4
15,252.8|298.8
16,570.9|410.4
17,415.7|571.9
18,379.7|496.9
19,373.1|533.8
20,473.8|363.4
21,254.6|271.0
22,311.2|399.7
23,479.6|462.7
24,535.5|523.1
25,593.4|481.8
26,469.8|270.0
27,301.1|334.0
28,371.6|218.5
29,226.7|321.5
30,438.7|241.5
31,532.2|345.1
32,552.3|255.1
33,266.9|465.4
34,224.4|411.7
35,475.5|323.3
36,594.8|368.2
37,336.2|416.8
38,329.4|350.0
39,269.8|274.3
40,540.5|395.7
41,217.2|395.2
42,471.2|542.3
43,380.5|361.6
44,256.8|335.3
45,340.7|558.3
46,279.7|241.6
47,516.0|460.0
48,374.7|455.4
49,556.3|372.7
50,294.7|337.9
51,300.0|423.8
52,593.5|465.4
53,212.8|498.0
54,401.7|214.1
55,584.1|436.8
56,529.3|515.5
57,257.4|410.7
58,556.8|568.2
59,229.3|441.2
60,316.8|377.9
61,261.4|342.1
62,236.0|581.5
63,384.3|288.4
64,593.7|562.2
65,277.9|476.9
66,531.0|355.1
67,420.7|569.3
68,429.7|571.5
69,593.3|485.3
70,389.5|581.2
71,228.5|423.2
72,351.6|444.7
73,340.4|407.3
74,524.4|500.0
75,383.3|349.2
76,460.8|435.1
77,570.8|356.2
78,552.3|529.8
79,456.4|228.6
80,366.1|539.6
81,239.2|295.5
82,544.3|519.2
83,261.1|542.1
84,431.8|453.9
85,559.4|568.9
86,271.4|416.3
87,398.2|578.0
88,435.9|377.0
89,420.1|254.0
90,554.5|595.1
91,206.4|542.6
92,546.1|380.5
93,529.8|502.4
94,295.7|311.9
95,342.6|515.1
96,393.8|362.0
97,437.2|334.1
98,477.2|469.5
99,531.2|529.0
100,228.7|509.2
101,409.0|441.8
102,241.7|551.7
103,406.0|486.3
104,419.4|524.4
105,434.8|447.1
106,386.6|367.1
107,460.4|450.4
108,401.9|322.7
109,356.5|396.5
110,380.5|270.1
111,464.3|397.4
112,209.0|594.1
113,203.7|502.6
114,472.9|461.2
115,218.5|497.2
116,338.8|552.3
117,346.6|221.1
118,343.8|237.6
119,438.5|230.8
120,205.6|454.2
121,231.1|575.7
122,386.5|308.1
123,593.3|330.2
124,219.9|251.4
125,436.9|547.9
126,546.2|282.7
127,339.1|230.1
128,241.1|272.5
129,524.9|560.5
130,352.4|447.9
131,206.3|501.7
132,345.9|378.8
133,203.9|340.5
134,350.5|563.4
135,574.4|562.0
136,276.6|593.2
137,460.4|430.1
138,588.3|268.6
139,522.6|417.5
140,581.7|389.1
141,281.1|349.9
142,236.3|542.6
143,306.2|321.8
144,479.0|513.8
145,238.2|561.2
146,334.1|420.2
147,565.8|462.2
148,420.2|273.0
149,287.5|308.9
150,405.9|453.6
151,236.4|393.1
152,254.9|317.3
153,480.2|282.0
154,393.5|561.0
155,370.4|273.8
156,471.6|332.8
157,210.9|574.2
158,255.2|306.8
159,288.9|584.1
160,515.4|437.5
161,351.9|453.6
162,246.7|582.1
163,213.4|300.3
164,210.5|497.0
165,593.2|578.8
166,462.0|352.1
167,368.5|590.3
168,531.3|438.2
169,577.8|577.0
170,416.8|316.5
171,233.2|535.6
172,329.5|229.9
173,590.1|538.2
174,439.0|337.2
175,274.7|382.4
176,466.8|339.1
177,291.9|448.3
178,370.5|214.1
179,420.5|433.6
180,445.1|329.6
181,568.7|307.2
182,376.3|487.7
183,592.1|537.7
184,454.2|488.5
185,554.4|491.5
186,454.6|441.0
187,364.1|285.3
188,543.1|519.2
189,343.0|322.0
190,433.2|502.6
191,418.4|326.0
192,481.2|504.7
193,399.5|495.1
194,592.1|375.1
195,383.4|213.3
196,427.1|477.5
197,339.6|235.1
198,548.3|380.7
199,209.9|280.1
200,256.6|402.4
201,479.1|272.7
202,345.6|382.5
203,265.1|305.5
204,431.0|478.7
205,467.2|542.0
206,278.3|449.1
207,436.8|208.5
208,464.3|499.9
209,437.4|588.2
210,457.2|260.9
211,443.5|530.6
212,436.4|375.8
213,357.4|329.4
214,209.6|508.5
215,225.3|506.0
216,464.8|351.8
217,423.0|369.5
218,454.6|275.2
219,420.6|583.8
220,278.3|356.6
221,592.8|305.8
222,277.9|381.4
223,580.7|558.9
224,285.9|544.8
225,226.9|211.4
226,253.8|367.0
227,426.1|342.6
228,559.7|218.6
229,418.5|350.5
230,367.3|282.2
231,219.2|328.3
232,354.9|456.1
233,386.7|359.0
234,348.5|444.7
235,475.8|473.3
236,349.0|594.6
237,399.5|311.6
238,243.0|579.0
239,343.8|425.2
240,464.6|348.2
241,245.0|438.9
242,580.2|543.3
243,453.9|547.6
244,527.4|501.1
245,372.1|562.2
246,247.0|505.0
247,586.2|589.8
248,266.7|459.1
249,493.6|495.5
250,382.3|218.5
251,453.3|543.6
252,410.1|440.9
253,248.6|483.2
254,274.6|415.6
255,410.5|264.4
256,559.3|575.7
257,234.9|569.9
258,205.9|267.1
259,482.6|488.1
260,358.8|363.8
261,412.1|364.3
262,551.4|586.5
263,263.4|557.1
264,220.9|247.4
265,474.3|214.8
266,341.3|566.7
267,222.4|408.6
268,527.9|340.8
269,431.6|209.4
270,399.0|360.7
271,409.4|387.5
272,581.3|311.5
273,350.9|556.7
274,549.4|329.6
275,398.4|590.3
276,473.7|241.8
277,431.7|445.2
278,428.9|489.9
279,537.5|521.2
280,580.5|399.1
281,397.8|482.3
282,227.0|558.9
283,302.1|370.9
284,241.3|415.9
285,210.3|238.3
286,285.9|428.1
287,557.0|560.6
288,596.3|553.2
289,593.6|351.4
290,393.3|504.4
291,335.5|221.6
292,460.7|376.7
293,578.3|411.4
294,331.6|530.4
295,417.3|531.4
296,236.1|221.1
297,256.9|316.0
298,440.4|246.4
299,363.6|582.0
300,363.8|285.0
301,412.3|384.9
302,217.9|459.1
303,328.3|571.8
304,339.0|234.3
305,471.6|316.1
306,401.5|215.6
307,592.5|386.5
308,483.5|233.1
309,394.7|469.2
310,430.8|369.5
311,541.2|298.8
312,416.7|545.3
313,255.4|385.7
314,203.5|311.4
315,545.9|463.2
316,396.3|530.7
317,348.3|536.7
318,398.8|517.1
319,204.4|593.6
320,473.1|254.4
321,567.4|460.7
322,591.2|350.1
323,481.2|238.6
324,398.1|468.3
325,249.1|378.3
326,539.2|433.3
327,585.2|344.2
328,561.7|529.1
329,479.5|288.3
330,388.4|312.4
331,301.0|422.7
332,237.0|421.5
333,594.6|210.6
334,396.4|513.2
335,528.8|445.3
336,359.4|454.9
337,410.6|316.1
338,394.1|300.9
339,446.3|398.1
340,532.0|499.2
341,480.2|235.0
342,368.2|438.3
343,381.2|293.6
344,402.3|584.7
345,582.1|248.2
346,475.1|349.2
347,356.6|271.9
348,542.8|539.5
349,268.4|209.1
350,556.2|236.8
351,388.8|596.0
352,360.4|231.2
353,370.3|593.5
354,251.3|238.4
355,374.0|246.8
356,424.4|409.2
357,387.6|221.2
358,262.6|346.6
359,218.2|300.2
360,433.4|379.8
361,530.3|350.4
362,260.8|410.7
363,478.3|259.8
364,526.4|357.9
365,397.2|447.9
366,252.7|211.9
367,571.3|547.9
368,241.7|536.6
369,304.1|394.0
370,574.8|329.2
371,576.5|279.4
372,591.7|550.4
373,454.7|425.1
374,342.2|325.3
375,581.0|390.8
376,221.7|315.6
377,548.9|466.4
378,267.0|367.5
379,416.5|294.6
380,214.7|329.4
381,533.2|341.2
382,353.2|402.2
383,235.6|218.8
384,369.6|344.7
385,249.4|301.4
386,528.5|557.7
387,379.4|271.9
388,591.4|266.2
389,348.6|209.6
390,317.6|408.3
391,556.8|532.8
392,387.8|277.9
393,470.6|278.2
394,243.8|479.2
395,546.2|330.9
396,279.0|368.3
397,398.1|399.2
398,387.2|270.6
399,477.9|242.2
400,238.3|556.5
401,595.6|346.0
402,248.2|394.2
403,211.7|583.1
404,251.0|482.6
405,427.6|293.9
406,208.0|301.4
407,554.2|224.2
408,276.0|448.5
409,227.1|461.7
410,371.3|593.1
411,360.0|370.4
412,246.4|214.4
413,241.2|394.5
414,419.1|208.6
415,417.8|279.8
416,432.1|247.4
417,533.6|512.2
418,235.0|318.3
419,250.2|220.6
420,301.9|400.1
421,437.8|400.5
422,258.2|363.7
423,594.2|463.7
424,303.2|397.4
425,222.6|476.3
426,407.4|360.3
427,371.8|379.6
428,413.2|334.4
429,558.1|352.1
430,375.1|481.9
431,421.1|320.3
432,383.3|359.2
433,318.6|356.3
434,335.8|368.6
435,246.8|507.3
436,590.7|372.6
437,556.7|586.8
438,561.0|542.8
439,270.5|335.4
440,298.9|369.2
